№ п/п,раздел товара,группа товара,подкаталог,наименование,наименование короткое ,бренд,артикул,цена,короткое описание,объем,вес,количество,запах,кожа,цвет rgb, теги для поиска,Описание:,Состав:,Упаковка:,Способ применения:,С этим средством используют:,"Это средство необходимо для людей, у которых:",Это полезно знать:
,,,,* Бальзам после бритья,,HYMM™,119006,"362,08",Бальзам д/бритья,100 мл,,,,,,,"Бальзам после бритья превратит бритье в приятный утренний ритуал. Он имеет нежирную фактуру с явно выраженным успокаивающим эффектом и уникальным свежим ароматом. Формула бальзама не содержит тяжелых или жирных компонентов, быстро впитывается и не оставляет неприятного жирного налета. Протестирован дерматологами, подходит для всех типов кожи, в том числе и для чувствительной.","помимо классических компонентов в состав геля входят дополнительные компоненты – экстракт алоэ вера, которое известно своим свойством увлажнять и успокаивать сухую, раздраженную и поврежденную кожу; витамин Е, который обеспечивает дополнительное увлажнение; аллантоин и глицерин, которые успокаивают и смягчают кожу после бритья, а также ускоряют процесс заживления и регенерации поврежденных участков.","вакуумная упаковка с насадкой-помпой, что предотвращает контакт средства с воздухом и позволяет упростить его использование.","нанесите средство на чистое, сухое и только что побритое лицо, массируя втирайте его в кожу. Избегайте попадания средства в глаза. Если же средство попало в глаза, немедленно промойте их большим количеством воды.","средство рекомендуется использовать вместе с HYMM™ Гель для бритья (119005), это позволит максимально защитить кожу мужчины от жжения и раздражения",,
,,,,* Бальзам после бритья,,HYMM™,119627,"412,78",Бальзам д/бритья,,,1 шт.,,,,,"Чистое бритье одним движением – это совсем не фантастика. Попробуйте побриться высококачественной бритвой с 5-ю лезвиями, которая умеет приспосабливаться к вашему контуру лица, удобно сидит в руке благодаря эргономичной рукоятке, и гарантирует тщательное и комфортное бритье (все это благодаря уникальной технологии 5-ти лезвий). ","бритва оснащена функциональной кнопкой для быстрой замены картриджа и смазывающей полоской с экстрактом алоэ вера и витамином Е. У бритвы также имеется специальный триммер для баков, эспаньолок и участка под носом, который оснащен защитными ребрышками для дополнительной безопасности во время бритья. Продается в комплекте с одним готовым к использованию сменным лезвием (картриджем). Рассчитана на 19 использований до смены картриджа. Протестирована дерматологами, подходит для всех типов кожи, в том числе и для чувствительной.","лучшая эффективность за счет использования технологии 5-ти лезвий; лезвия на 25% тоньше классических и с более широкой контактной поверхностью, что позволяет захватывать даже самые маленькие щетинки не прибегая к дополнительному нажиму; подвижная головка повторяет все анатомические контуры лица, обеспечивая максимально тщательное бритье; использованный картридж можно заменить на новый (имеется ввиду HYMM™ Сменные лезвия для бритвы, и продаются отдельно).","чтобы вставить или заменить картридж, нажмите на кнопку спереди на рукояти бритвы.",HYMM™ Гель для бритья (119005) и HYMM™ Сменные лезвия для бритвы (119628),,
,,,,* Сменные лезвия для бритвы,,HYMM™,119628,"318,89",Лезвия д/бритвы,,,4 шт.,,,,,"Комплект сменных лезвий для HYMM™ Бритва с 5 лезвиями. Обеспечивают отличное бритье и лучшее скольжение бритвы по коже. Широкая защитная полоска мягко растягивает кожу, подготавливая щетинки к бритью. Баки, эспаньолки и усы приобретут ",,,,HYMM™ Гель для бритья (119005) и HYMM™ Бритва с 5 лезвиями (119627),,
,,,* для тела,,,,,,,,,,,,,,,,,,,,
,,,,* Шампунь и гель для душа,,HYMM™ 2-в-1,119008,"168,96",Шампунь-гель,250 мл,,,,,,,"Универсальное средство для мытья головы и тела, обеспечивает волосам легкий эффект кондиционирования. Мужчины любят универсальные решения: 2-в-1 Шампунь и гель для душа очищает тело с головы до пят и дарит коже приятное ощущение бодрящей свежести. Легкий фирменный аромат средства придаст свежесть волосам и телу на весь день. Протестирован дерматологами, подходит для всех типов кожи, в том числе и для чувствительной.","содержит экстракт водяной мяты, придающий средству освежающий и стимулирующий эффект; морские минералы, придающие средству стимулирующие и вяжущие свойства.","бутылка с крышкой, которую легко открывать и закрывать одной рукой. Плоская крышка позволяет перевернуть бутылку и хранить ее вверх дном.","в качестве геля: налейте средство в ладонь или на мочалку, разотрите под душем до образования густой пены, обильно нанесите на все тело, смойте водой. В качестве шампуня: нанесите на мокрые волосы, мягко помассируйте, втирая в кожу головы до образования пены, и смойте водой. Избегайте попадания средства в глаза.",HYMM™ Роликовый дезодорант (119007),,
,,,,* Роликовый дезодорант,,HYMM™,119007,"221,85",Дезодорант,100 мл,,,,,,,"Полупрозрачный роликовый дезодорант легко наносится и быстро высыхает, не оставляя белых и желтых следов на одежде. Имеет уникальный легкий аромат с нотками свежести. Отлично защищает от запаха пота в течении всего дня. Протестирован дерматологами, подходит для всех типов кожи, в том числе и для чувствительной.","содержит экстракт листьев шалфея - противомикробное средство, отлично защищающее от неприятного запаха; не содержит солей алюминия, что позволяет коже дышать естественным образом",,"нанесите средство под мышками после принятия душа или ванны. Используйте ежедневно, чтобы получить наилучший результат. Избегайте попадания средства в глаза.",средство рекомендуется использовать вместе с HYMM™ 2-в-1 Шампунь и гель для душа (119008),,"существует два типа дезодорантов — с солями алюминия и без них. Они обеспечивают разные преимущества, рассчитанные на разные целевые группы потребителей. Дезодоранты, содержащие соли алюминия, называются антиперспирантами. Они предупреждают появление мокрых пятен от пота под мышками, в то же время защищая от неприятного запаха. Дезодоранты, не содержащие солей алюминия, не предупреждают потоотделение, позволяя коже дышать естественным образом, и защищают исключительно от неприятного запаха."
,,,,,,,,,,,,,,,,,,,,,,,
,,* пробники,,,,,,,,,,,,,,,,,,,,,
,,,,"* Комплексная система, пробники",,ARTISTRY IDEAL RADIANCE ,118899,"351,43",Пробники т/воды,,,5 шт.,,,,,"Навсегда попрощайтесь с темными пятнами и гиперпигментацией – именно эту идею вы должны донести с помощью этих потрясающих пробников до своих клиентов и потенциальных НПА, представляя им высокоэффективную и в то же время мягкую систему средств по уходу за кожей ARTISTRY IDEAL RADIANCE. 
Каждый пробник содержит образец Увлажняющей эссенции с осветляющим эффектом, Средства для осветления кожи лица и Увлажняющего крема с осветляющим и питательным эффектами. При условии их параллельного использования в рамках Комплексной системы ARTISTRY IDEAL RADIANCE, полезный эффект усиливается, темные пятна и участки обесцвечивания становятся менее заметны, а взгляду открывается ровный тон сияющей кожи.
От мгновенного повышения уровня увлажненности кожи до улучшения чистоты ее цвета – Коллекция ARTISTRY IDEAL RADIANCE обеспечивает потенциал для прироста продаж как в ближайшей, так и в долгосрочной перспективе. А поскольку положительный эффект от пользования этими средствами можно увидеть уже через семь дней, эти пробники – отличный повод договориться с потенциальным клиентом о встрече в ближайшее время.
•  Три ключевых средства линии ARTISTRY IDEAL RADIANCE. Каждый пробник содержит образцы трех ключевых средств системы ухода за кожей ARTISTRY IDEAL RADIANCE, а следовательно, нет лучшего способа быстро, эффективно и великодушно ознакомить своих клиентов с сияющим миром этого инновационного ухода за кожей. 
•  Пять пробников. Порадуйте 5 любимых клиентов, потенциальных НПА, родных или друзей этим «лучистым» подарком. 
•  ARTISTRY IDEAL RADIANCE как составляющая философии ARTISTRY FORWARD BEAUTY («ПОДЕЛИСЬ КРАСОТОЙ»). Карточки с пробниками предоставляют информацию о том, как пользоваться тремя средствами, образцы которых они содержат, в рамках процедуры ухода, включающей средства разных коллекций ARTISTRY.

• Быстрый результат для сокращенного цикла продаж. Такие средства, как Увлажняющая эссенция с осветляющим эффектом, улучшают состояние и внешний вид кожи уже через несколько минут, давая вам шанс впечатлить клиента и заручиться успешной продажей на месте или договориться о встрече в ближайшие дни.
• Стильные пробники означают стремительный прирост продаж. Стильно оформленные, эти карточки с пробниками визуально транслируют идею лучистой сияющей кожи и выглядят как настоящий подарок. Так подарите их ценным клиентам и потенциальным НПА – и посмотрите, как вырастут ваши продажи.
• Расширение возможностей для дополнительных и перекрестных продаж. Пробниками содержат информацию о том, как сочетать средства коллекции ARTISTRY IDEAL RADIANCE с продуктами других систем ухода за кожей ARTISTRY, предлагая вам разнообразные подходы для увеличения продаж.
 
Карточки с пробниками Комплексной системы ARTISTRY IDEAL RADIANCE дают возможность убедиться в преимуществах параллельного использования всех этих средств. Чтобы получить наилучший результат, ваши клиенты должны использовать эти образцы в следующем порядке:
• ARTISTRY IDEAL RADIANCE Увлажняющая эссенция с осветляющим эффектом
Выдавите средство на ладонь, нажав на дозатор 2-3 раза, а затем кончиками пальцев нежно ненесите Увлажняющую эссенцию с осветляющим эффектом в кожу лица и шеи.
• ARTISTRY IDEAL RADIANCE Средство для осветления кожи лица
Нанесите на кончики пальцев, а затем массажными движениями мягко втирайте в темные пятна, веснушки и обесцвеченные участки. Наносите после Увлажняющей эссенции с осветляющим эффектом перед нанесением Увлажняющего крема с осветляющим и питательным эффектами.
• ARTISTRY IDEAL RADIANCE Увлажняющий крем с осветляющим и питательным эффектами
Нанесите на кончики пальцев, а затем нежными прикосновениями втирайте в кожу лица и шеи. Используйте после Средства для осветления кожи лица.
",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2.,"Уход за волосами, телом и полостью рта",,,,,,желто-золотистый,,,,,,,,,,,,,,,,
,,* уход за полостью рта,,,,,,,,,,,,,,,,,,,,,
,,,"* зубные пасты, освежители",,,,,,,,,,,,,,,,,,,,
,,,,* Многофункциональная фтористая зубная паста,,glister ,6833,"140,57",Зубная паста,150 мл,200 гр.,,,,,,"Многофункциональная фтористая зубная паста содержит уникальные биохимические составляющие, которые благотворно влияют на зубную эмаль и способствуют регенерации дентина. Эффективно удаляет пятна от кофе, чая и табака, безопасно полирует эмаль и придает ей естественную белизну без повреждения эмали. Ваша улыбка будет сияющей, а дыхание станет приятно свежим. Не вызывает аллергических реакций.
Экономичный расход – одному человеку будет достаточно одного тюбика пасты на 10-12 месяцев использования. Обеспечивает надежную защиту в течении 36 часов. Не содержит абразивов.
Паста относится к категории полирующих зубных паст с коэффициентом стирания зубной эмали равным 0,00. Это означает, что паста очищает и отбеливает зубы не повреждая эмаль, обеспечивает лечебный эффект без частых походов к стоматологу, полирует зубы и цементирует микроповреждения эмали, предотвращает образование зубного камня и налета, укрепляет твердые ткани зуба и способствует образованию вторичного дентима. Применяя пасту регулярно, можно добиться отличных результатов пломбировки мелких дырочек.
","содержит специальный очищающий компонент REMINACT™, гидроокись кремния, обеспечивающий максимальный полировальный эффект, фторид, силикат алюминия пятивалентный, LS -928, глицерин, сода, двуокись титана, калия, минералы, микро- и макроэлементы, витамины, хелатный кальций и т.д. (полный состав держится в секрете)","туба с удобной крышкой, которую можно открывать одной рукой.",нанести пасту размером с горошину на сухую зубную щетку и почистить зубы не менее 2 мин 2-3 раза в день. Использование пасты совместно с ополаскивателем повышает ее эффективность до нескольких десятков раз. Использование всей системы Glister повышает эффективность средств в 38 раз.,"glister Спрей-освежитель полости рта (9893), glister Концентрированная жидкость для полоскания полости рта (9949)","• заболевания типа пародонтоз, кариес, стоматит, гингивит (до 90% излечения).
• устойчивый темный налет на зубах от табака, чая, других красящих веществ;
• проблема с высокой чувствительностью зубов, неплотно прилегающими деснами к зубам
• устойчивый запах изо рта вследствие заболеваний ЖКТ
Из личного опыта – паста не дает мгновенный эффект, улучшения происходят постепенно, и уже через четыре месяца использования эффект будет значительный (этот период индивидуальный, зависит от особенностей организма). 
",
